SYMBOL,basal.pregnant,basal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA CPM,MCL1.LB CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.LE CPM,MCL1.LF CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM
Gm9199,0,-1.75200127479332,0.00946039997933421,-0.880184335087807,0.000623429699000103,7,11,29,19,26,25,8,9,19,12,3,4,0.343,0.507,1.304,0.864,1.052,1.014,0.344,0.413,0.788,0.529,0.139,0.200
Aifm3,0,-1.79348136871505,0.00946039997933421,0.00837706524757228,0.000623754985943813,159,162,144,118,66,81,5,5,9,6,2,1,7.797,7.463,6.474,5.367,2.669,3.285,0.215,0.230,0.373,0.265,0.093,0.050
Troap,0,-2.14795667172946,0.00947382749606928,0.911428030865623,0.000624988877458781,57,55,41,19,90,68,72,82,59,49,9,11,2.795,2.534,1.843,0.864,3.640,2.758,3.100,3.765,2.448,2.162,0.418,0.550
Pimreg,0,-1.84191575248306,0.00950510895114862,0.749168802865527,0.000629370217767612,60,67,32,13,43,32,56,56,71,58,17,13,2.942,3.086,1.439,0.591,1.739,1.298,2.411,2.571,2.946,2.559,0.790,0.650
Tnc,0,1.74715272860885,0.00950510895114862,5.94804819954383,0.00062796076881265,1636,1705,2577,3321,4724,4955,2500,1574,221,234,709,593,80.227,78.542,115.864,151.035,191.071,200.955,107.630,72.275,9.170,10.324,32.932,29.627
Gpr179,0,-2.32227107906124,0.00958417525060411,0.580523480751568,0.000638263262209553,10,17,6,6,13,3,86,113,478,283,46,86,0.490,0.783,0.270,0.273,0.526,0.122,3.702,5.189,19.833,12.486,2.137,4.297
Pcolce,0,-1.01951172105959,0.00958417525060411,2.96488637650877,0.000638151814591889,144,163,22,47,202,157,337,340,511,434,212,184,7.062,7.509,0.989,2.138,8.170,6.367,14.509,15.612,21.203,19.148,9.847,9.193
Eppk1,0,1.71190424290624,0.00959813823629314,4.7828018184918,0.000641312006957884,2143,1748,147,140,64,53,4198,2592,478,762,1793,1558,105.090,80.523,6.609,6.367,2.589,2.149,180.733,119.020,19.833,33.620,83.282,77.840
Kifc1,0,-2.58588912306999,0.00960479354481762,2.4896336377867,0.000642110080243336,194,265,178,87,213,173,187,171,189,149,32,17,9.513,12.207,8.003,3.957,8.615,7.016,8.051,7.852,7.842,6.574,1.486,0.849
Oit3,0,-1.29147645426473,0.00960740001088501,0.773862443912812,0.000642637816688949,2,6,18,11,27,11,90,106,314,278,94,112,0.098,0.276,0.809,0.500,1.092,0.446,3.875,4.867,13.029,12.265,4.366,5.596
Ciita,0,1.16064799462618,0.0096272242288426,-0.121991875705131,0.000644318071756308,13,12,40,29,11,6,15,17,27,22,45,49,0.638,0.553,1.798,1.319,0.445,0.243,0.646,0.781,1.120,0.971,2.090,2.448
NA,0,-1.07374563216432,0.0096426300230242,7.18521291138649,0.000646637521028868,4946,5864,4717,3768,1497,1052,4468,4128,5171,4653,2393,1642,242.545,270.129,212.080,171.364,60.549,42.665,192.357,189.550,214.558,205.291,111.151,82.037
Mcm10,0,-1.16977197955325,0.00965362519306122,2.79615559584744,0.000647860934991856,238,255,199,127,182,198,224,227,144,152,56,55,11.671,11.747,8.947,5.776,7.361,8.030,9.644,10.423,5.975,6.706,2.601,2.748
Uba52-ps,0,-1.07312586736772,0.00968680661107871,0.830186181283241,0.000651160779271197,67,57,68,56,28,23,54,51,46,39,15,19,3.286,2.626,3.057,2.547,1.133,0.933,2.325,2.342,1.909,1.721,0.697,0.949
2010204K13Rik,0,-3.77513745939995,0.00971143486148721,-0.739397571821518,0.000654026756106156,39,29,29,28,11,2,31,29,34,16,1,1,1.913,1.336,1.304,1.273,0.445,0.081,1.335,1.332,1.411,0.706,0.046,0.050
Lao1,0,2.09766311713158,0.00975453414602465,6.04417682381128,0.000658580895469121,355,776,12061,16669,190454,193519,5,18,518,378,1570,1670,17.409,35.747,542.272,758.087,7703.257,7848.347,0.215,0.827,21.493,16.677,72.924,83.436
Sh2d7,0,1.11272936379831,0.0097610092259714,0.521680543076634,0.000659591214238461,28,30,20,23,8,10,47,39,39,57,84,89,1.373,1.382,0.899,1.046,0.324,0.406,2.023,1.791,1.618,2.515,3.902,4.447
Otud7a,0,-3.70442986591363,0.0097833271779917,-2.27214844736117,0.000661604744587687,5,4,2,5,3,8,20,32,10,5,0,0,0.245,0.184,0.090,0.227,0.121,0.324,0.861,1.469,0.415,0.221,0.000,0.000
Krt90,0,1.86634083419083,0.00981532736369111,-1.5352933444491,0.000664852190167237,2,0,0,0,0,0,267,214,30,33,105,92,0.098,0.000,0.000,0.000,0.000,0.000,11.495,9.826,1.245,1.456,4.877,4.596
Lyz2,0,-2.64924135331172,0.00982547453407885,0.741679355093217,0.00066658532640893,36,27,30,63,10,8,95,92,109,150,20,14,1.765,1.244,1.349,2.865,0.404,0.324,4.090,4.224,4.523,6.618,0.929,0.699
Npr3,0,1.92007926122685,0.00982547453407885,2.07528261578821,0.000668608505975158,173,167,20,18,8,12,53,71,210,497,1005,1045,8.484,7.693,0.899,0.819,0.324,0.487,2.282,3.260,8.713,21.928,46.681,52.210
Fam221a,0,1.58227579460056,0.00982547453407885,1.57520590588591,0.000667734646370705,236,251,55,44,83,69,73,76,16,30,56,56,11.573,11.562,2.473,2.001,3.357,2.798,3.143,3.490,0.664,1.324,2.601,2.798
Atp2b2,0,3.71580799892826,0.00982547453407885,1.28166585428973,0.000668872228016244,9,13,63,87,6688,8723,10,13,5,5,77,48,0.441,0.599,2.833,3.957,270.508,353.770,0.431,0.597,0.207,0.221,3.577,2.398
Vkorc1l1,0,-1.03934427374238,0.00983224037346814,3.28734673937668,0.00067070067524228,336,336,250,246,161,186,258,282,315,210,103,111,16.477,15.478,11.240,11.188,6.512,7.543,11.107,12.949,13.070,9.265,4.784,5.546
Tceanc,0,1.13983936122891,0.00986405856696726,0.401336505052441,0.000674322852843194,73,61,26,23,16,13,30,35,24,17,39,38,3.580,2.810,1.169,1.046,0.647,0.527,1.292,1.607,0.996,0.750,1.811,1.899
Slc28a3,0,-1.65180990894212,0.00986979544463706,6.39190056751224,0.000675327602340173,10917,11916,14200,16083,20881,23580,180,156,628,398,113,164,535.354,548.918,638.443,731.436,844.570,956.309,7.749,7.163,26.057,17.560,5.249,8.194
Kif9,0,1.28313010684691,0.00989590376300923,1.13947367867827,0.000678320346976938,101,70,21,20,22,20,109,85,40,46,91,87,4.953,3.225,0.944,0.910,0.890,0.811,4.693,3.903,1.660,2.030,4.227,4.347
Tcf19,0,-1.55569849064173,0.00990327157512306,3.56494917118832,0.000679189750028676,385,411,290,153,496,481,338,348,329,254,77,91,18.880,18.933,13.039,6.958,20.062,19.507,14.552,15.980,13.651,11.207,3.577,4.547
Rprml,0,-1.02390988949943,0.00990404121873858,1.40162095785804,0.000679606934506326,96,112,38,21,15,16,147,156,115,121,52,46,4.708,5.159,1.709,0.955,0.607,0.649,6.329,7.163,4.772,5.339,2.415,2.298
Xirp1,0,-1.45463916886639,0.00995948108487391,1.55020895239207,0.000686709134002491,94,110,79,62,18,19,204,169,84,119,33,28,4.610,5.067,3.552,2.820,0.728,0.771,8.783,7.760,3.485,5.250,1.533,1.399
H2-Ab1,0,-2.22278830880796,0.00999002365683796,1.41017758092926,0.000689491197917423,52,34,75,43,29,9,101,79,294,224,65,33,2.550,1.566,3.372,1.956,1.173,0.365,4.348,3.628,12.199,9.883,3.019,1.649
Wscd2,0,1.3633557884791,0.0100118352317408,0.269427660225615,0.000692160800634348,16,7,1,1,0,1,195,178,202,324,555,555,0.785,0.322,0.045,0.045,0.000,0.041,8.395,8.173,8.381,14.295,25.779,27.729
Osm,0,-3.22047940704931,0.0100123135383744,-3.49880722374958,0.000692562252185287,0,0,17,6,0,0,10,6,8,3,0,0,0.000,0.000,0.764,0.273,0.000,0.000,0.431,0.276,0.332,0.132,0.000,0.000
Fam171a2,0,1.07447037507683,0.0100537080975732,2.83205558678393,0.000696905186203613,276,294,149,160,43,57,327,299,125,104,174,243,13.535,13.543,6.699,7.277,1.739,2.312,14.078,13.730,5.187,4.588,8.082,12.141
Neu3,0,-1.43025506371297,0.0100714574177564,0.336713009396299,0.000699239231204754,52,48,16,21,12,6,25,32,77,84,24,26,2.550,2.211,0.719,0.955,0.485,0.243,1.076,1.469,3.195,3.706,1.115,1.299
Zfp994,0,1.18218190565553,0.0100896384518141,1.37580477054953,0.000700880731337617,109,128,60,52,51,47,58,62,33,29,50,73,5.345,5.896,2.698,2.365,2.063,1.906,2.497,2.847,1.369,1.279,2.322,3.647
Agr3,0,3.24558013179505,0.0100958893690564,-2.08403275924072,0.000702772347748448,11,18,8,22,0,0,2,1,2,5,33,26,0.539,0.829,0.360,1.001,0.000,0.000,0.086,0.046,0.083,0.221,1.533,1.299
Gm19589,0,-2.75729431375622,0.0101175416178411,-4.01877723730842,0.000706541594269931,1,2,0,0,0,0,4,11,4,3,0,0,0.049,0.092,0.000,0.000,0.000,0.000,0.172,0.505,0.166,0.132,0.000,0.000
Klhl38,0,1.92476905621112,0.0101175416178411,-0.282982621030704,0.000706525998075795,5,7,4,10,6,4,24,23,38,54,117,184,0.245,0.322,0.180,0.455,0.243,0.162,1.033,1.056,1.577,2.382,5.434,9.193
Stmn1,0,-1.06846115275037,0.0101175416178411,5.31070068691071,0.000706498241454015,1655,1774,1516,1304,681,476,1317,1313,976,682,347,317,81.159,81.720,68.161,59.304,27.544,19.305,56.700,60.291,40.497,30.090,16.118,15.838
Flvcr2,0,-1.10408975651994,0.010148186785572,2.04064664390414,0.000710136422085545,135,124,81,92,203,183,71,78,113,82,39,37,6.620,5.712,3.642,4.184,8.211,7.422,3.057,3.582,4.689,3.618,1.811,1.849
Atoh1,0,-1.72309214336167,0.0102286817863156,-4.83243359442432,0.000717313642323762,0,0,0,0,0,0,1,2,2,1,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.092,0.083,0.044,0.000,0.000
Jam2,0,1.30001079306458,0.0102365853854738,3.53571587497101,0.000718406373933357,186,267,34,48,16,7,1039,1415,997,1186,2621,1972,9.121,12.300,1.529,2.183,0.647,0.284,44.731,64.974,41.368,52.327,121.741,98.524
Tmem266,0,-2.19597269322009,0.0102726939063204,0.11181876729066,0.000723833741955543,12,22,16,6,55,51,24,15,97,60,16,12,0.588,1.013,0.719,0.273,2.225,2.068,1.033,0.689,4.025,2.647,0.743,0.600
Foxm1,0,-1.62515463381712,0.0102845132157311,3.9325594328723,0.000725404078889804,506,610,412,286,426,269,595,576,443,340,99,116,24.814,28.100,18.524,13.007,17.230,10.910,25.616,26.449,18.381,15.001,4.598,5.796
Rhox4a,0,-2.574517426621,0.0102846542003497,-4.15155642782624,0.000726158115106186,3,3,0,1,1,1,0,0,3,3,0,0,0.147,0.138,0.000,0.045,0.040,0.041,0.000,0.000,0.124,0.132,0.000,0.000
Aldh1l1,0,2.160862144791,0.0103360469684122,1.82598576989701,0.000730337358745035,104,73,56,35,485,539,21,47,30,33,115,127,5.100,3.363,2.518,1.592,19.617,21.860,0.904,2.158,1.245,1.456,5.342,6.345
Syt9,0,-1.35481910641848,0.0103433190713809,3.49064043691863,0.000731822457568916,147,129,509,352,710,760,411,432,234,177,62,74,7.209,5.942,22.885,16.009,28.717,30.823,17.694,19.837,9.709,7.809,2.880,3.697
Dnajb13,0,1.42594885040895,0.0105286624969603,3.41551267638389,0.000752683734927478,304,377,226,258,195,323,277,240,133,113,279,284,14.908,17.367,10.161,11.734,7.887,13.100,11.925,11.020,5.518,4.986,12.959,14.189
Dancr,0,-1.11839723658782,0.0105804985093331,1.57769294573273,0.000757557308920942,81,73,76,53,19,29,91,105,155,124,61,48,3.972,3.363,3.417,2.410,0.768,1.176,3.918,4.821,6.431,5.471,2.833,2.398
Tmem254c,0,1.03917471069294,0.0106046928796823,1.07402074145895,0.00076085032986425,56,58,65,52,28,32,37,21,43,49,87,74,2.746,2.672,2.922,2.365,1.133,1.298,1.593,0.964,1.784,2.162,4.041,3.697
Arhgap40,0,-1.94876850860709,0.0106046928796823,1.70980827214845,0.000760635774962203,596,743,32,38,21,15,48,91,155,156,31,37,29.227,34.227,1.439,1.728,0.849,0.608,2.067,4.179,6.431,6.883,1.440,1.849
Gm16796,0,-1.5950377596036,0.0106063561185207,-0.579112367318379,0.000761750143248549,12,16,21,11,7,5,27,17,36,34,10,9,0.588,0.737,0.944,0.500,0.283,0.203,1.162,0.781,1.494,1.500,0.464,0.450
Mpeg1,0,-3.8377323042897,0.0106903595534804,-0.461961732136841,0.000770321918527929,34,28,30,19,5,0,27,31,94,87,6,4,1.667,1.290,1.349,0.864,0.202,0.000,1.162,1.423,3.900,3.838,0.279,0.200
Tma16,0,-1.34698188685865,0.0107815694059113,3.17169611359982,0.000780284301167356,311,307,286,207,163,155,310,242,313,192,89,76,15.251,14.142,12.859,9.414,6.593,6.286,13.346,11.112,12.987,8.471,4.134,3.797
Cdk1,0,-2.26077568996275,0.0108067309968082,3.49812315978452,0.000782502910398414,488,533,318,195,486,303,349,384,328,248,54,47,23.931,24.553,14.298,8.868,19.657,12.288,15.025,17.633,13.610,10.942,2.508,2.348
Zfp113,0,1.36852703798452,0.0108499842269424,1.45440223043488,0.000786433236214596,209,196,50,40,29,48,60,56,34,34,66,86,10.249,9.029,2.248,1.819,1.173,1.947,2.583,2.571,1.411,1.500,3.066,4.297
Alpl,0,1.02021088021296,0.0108728635466027,5.62975532663299,0.000788891677909436,1751,1230,164,119,32,37,4980,4145,5228,6273,9869,9886,85.867,56.661,7.374,5.412,1.294,1.501,214.400,190.331,216.923,276.766,458.398,493.920
Nlrc5,0,-1.43893196077975,0.0108934388375971,4.34034608954492,0.000791586949639585,264,340,495,409,119,60,849,955,1741,1533,699,374,12.946,15.662,22.256,18.601,4.813,2.433,36.551,43.852,72.238,67.636,32.467,18.686
Dlgap1,0,-2.41969732019992,0.0108950597257643,-1.11698451983355,0.000792391781690548,12,29,7,3,0,0,33,20,68,86,15,9,0.588,1.336,0.315,0.136,0.000,0.000,1.421,0.918,2.821,3.794,0.697,0.450
Olfr284,0,2.89611924814426,0.0111104222906837,-4.08332921399382,0.000812924665396733,0,0,1,2,0,0,3,1,1,0,5,5,0.000,0.000,0.045,0.091,0.000,0.000,0.129,0.046,0.041,0.000,0.232,0.250
4930413F20Rik,0,1.91498890721961,0.0111289844775493,-0.873638171067296,0.000816137273473904,7,7,19,25,30,20,7,5,8,4,18,21,0.343,0.322,0.854,1.137,1.213,0.811,0.301,0.230,0.332,0.176,0.836,1.049
Cdca5,0,-2.04279413816674,0.0111289844775493,1.85117715177385,0.000817711542060637,158,186,138,100,168,111,136,111,65,59,11,14,7.748,8.568,6.205,4.548,6.795,4.502,5.855,5.097,2.697,2.603,0.511,0.699
Shisa4,0,1.4624833448042,0.0111373830238358,3.06219448167053,0.000818738411333161,104,93,54,70,110,63,383,179,344,392,832,887,5.100,4.284,2.428,3.184,4.449,2.555,16.489,8.219,14.273,17.295,38.645,44.316
Cutal,0,2.32414506946539,0.0111487119917849,2.22234712022883,0.000821886373205548,623,521,92,100,304,385,50,41,14,24,72,87,30.551,24.000,4.136,4.548,12.296,15.614,2.153,1.883,0.581,1.059,3.344,4.347
Sftpb,0,1.81713386747828,0.0112995096097448,-4.85339515834065,0.000836682753631893,0,0,0,0,0,0,3,1,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.046,0.000,0.000,0.046,0.050
Tmem95,0,-1.03215340394313,0.0113372163234314,1.19173986680049,0.000840997174918601,97,132,21,19,1,1,425,374,161,191,84,62,4.757,6.081,0.944,0.864,0.040,0.041,18.297,17.173,6.680,8.427,3.902,3.098
Fgf21,0,-5.13613666339387,0.0114256437254498,-2.25258688578664,0.00085040495393507,0,2,0,1,0,0,55,134,133,78,2,2,0.000,0.092,0.000,0.045,0.000,0.000,2.368,6.153,5.518,3.441,0.093,0.100
Slc24a3,0,1.17896896261477,0.0114330515148987,3.73680735654213,0.000851410878478052,331,243,515,378,723,680,120,104,177,209,405,336,16.232,11.194,23.155,17.191,29.243,27.578,5.166,4.775,7.344,9.221,18.812,16.787
Cks2,0,-1.32670287363435,0.0114418271363658,2.76969993873315,0.000852485372940166,236,204,176,137,141,128,232,187,242,157,58,76,11.573,9.397,7.913,6.231,5.703,5.191,9.988,8.587,10.041,6.927,2.694,3.797
Erdr1,0,-1.33060807339197,0.0114629923787458,4.09531962376851,0.000854862767244611,625,711,587,450,197,112,505,469,652,569,265,159,30.649,32.753,26.392,20.465,7.968,4.542,21.741,21.536,27.053,25.104,12.309,7.944
Zfp423,0,-1.15174907619873,0.0116001574926396,1.65826661282113,0.000868123195850798,20,31,25,22,14,5,129,211,645,556,223,236,0.981,1.428,1.124,1.001,0.566,0.203,5.554,9.689,26.763,24.531,10.358,11.791
Anxa8,0,2.90761074426525,0.0116486363682985,2.854698226554,0.000874322756220943,1162,1138,107,205,46,67,129,129,27,84,328,274,56.983,52.423,4.811,9.323,1.861,2.717,5.554,5.923,1.120,3.706,15.235,13.689
Kif2c,0,-1.60977891930873,0.0116486363682985,1.68518177954994,0.000874309690070128,149,209,73,57,89,64,111,113,79,63,22,17,7.307,9.628,3.282,2.592,3.600,2.596,4.779,5.189,3.278,2.780,1.022,0.849
Cfd,0,3.83541646725211,0.0116561593215903,-4.35528849804899,0.000875316280045835,1,0,0,0,0,0,0,1,0,1,10,10,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.000,0.044,0.464,0.500
Dgkg,0,-2.38304580682201,0.0116692513107715,-1.64608956731866,0.000877158115747679,1,4,0,0,7,4,24,38,56,62,7,12,0.049,0.184,0.000,0.000,0.283,0.162,1.033,1.745,2.324,2.735,0.325,0.600
Umps,0,-1.19518777714581,0.0117017055077991,4.34236755273692,0.000881319812151465,690,678,508,323,341,403,631,630,700,515,266,187,33.837,31.233,22.840,14.690,13.792,16.344,27.166,28.928,29.045,22.722,12.355,9.343
Adamts7,0,-1.00068757020594,0.0117889508314519,3.94240639167529,0.000890493250560015,195,197,120,173,200,170,1583,1599,815,568,279,302,9.563,9.075,5.395,7.868,8.089,6.895,68.152,73.423,33.816,25.060,12.959,15.088
Havcr2,0,-3.5055908563843,0.0118937745114777,-3.19070333483174,0.000901820595914868,2,3,3,5,1,0,1,2,15,8,1,0,0.098,0.138,0.135,0.227,0.040,0.000,0.043,0.092,0.622,0.353,0.046,0.000
Klk10,0,-5.01299841033434,0.0118937745114777,1.5127434389333,0.000902078692145461,1393,2111,489,549,59,64,35,51,26,41,0,1,68.311,97.245,21.986,24.968,2.386,2.596,1.507,2.342,1.079,1.809,0.000,0.050
Nfam1,0,-1.35230542651292,0.0119498782960787,-2.84869385001408,0.000907925187880438,2,2,26,28,3,4,5,3,1,1,0,0,0.098,0.092,1.169,1.273,0.121,0.162,0.215,0.138,0.041,0.044,0.000,0.000
Shcbp1,0,-3.39372500306638,0.0119679523091927,1.88778696309618,0.000911059764072251,150,184,147,83,194,125,126,161,116,82,11,5,7.356,8.476,6.609,3.775,7.847,5.069,5.425,7.393,4.813,3.618,0.511,0.250
Rbm47,0,-1.35990979037694,0.0120468498773298,5.37416582320138,0.000919357847174134,2041,2641,4042,3552,2637,3038,152,234,732,557,254,176,100.088,121.659,181.731,161.541,106.658,123.209,6.544,10.745,30.372,24.575,11.798,8.793
Kif1a,0,-1.30822860753195,0.0120629986774624,1.83371422905955,0.000924022157684264,15,31,15,14,22,23,796,1008,337,325,128,100,0.736,1.428,0.674,0.637,0.890,0.933,34.270,46.285,13.983,14.339,5.945,4.996
Ntn4,0,2.04074157157872,0.0120629986774624,1.63978001923532,0.000924485523758699,90,106,1,0,1,10,2029,1667,154,347,738,862,4.413,4.883,0.045,0.000,0.040,0.406,87.353,76.546,6.390,15.310,34.279,43.067
Skint8,0,3.00059531047737,0.0120629986774624,0.188820865334124,0.000924952693028867,7,9,11,20,10,7,303,253,5,23,70,81,0.343,0.415,0.495,0.910,0.404,0.284,13.045,11.617,0.207,1.015,3.251,4.047
Mgp,0,-1.22036044395483,0.0121918736924415,4.56257632121287,0.00093743219545001,200,316,264,167,16,20,2392,2630,6501,3748,1779,1835,9.808,14.557,11.870,7.595,0.647,0.811,102.981,120.765,269.742,165.362,82.631,91.679
Tmem125,0,-1.5828336151643,0.0122037699015238,2.7746449798601,0.000939758089584879,578,670,533,495,447,437,41,62,95,65,27,18,28.344,30.864,23.964,22.512,18.080,17.723,1.765,2.847,3.942,2.868,1.254,0.899
Vegfd,0,2.3585827917206,0.0122037699015238,-2.0724471174776,0.000940049819170439,8,10,0,0,2,1,8,14,4,11,31,30,0.392,0.461,0.000,0.000,0.081,0.041,0.344,0.643,0.166,0.485,1.440,1.499
Dnph1,0,-1.47797771393744,0.0122336719774731,1.93001407240266,0.000944340991527965,195,170,102,59,51,55,119,135,113,114,39,30,9.563,7.831,4.586,2.683,2.063,2.231,5.123,6.199,4.689,5.030,1.811,1.499
Klf4,0,1.02660948200842,0.0122554286116226,8.65259187199253,0.000947373174620809,12122,12378,4893,6857,2357,2218,21168,16082,9836,10428,16907,18232,594.446,570.201,219.993,311.849,95.333,89.953,911.328,738.455,408.120,460.085,785.301,910.899
Mir378a,0,-2.33368576692874,0.0122946498319971,-4.53707355140566,0.000951762141599096,0,0,0,0,0,1,2,2,3,2,0,0,0.000,0.000,0.000,0.000,0.000,0.041,0.086,0.092,0.124,0.088,0.000,0.000
Gm20875,0,-1.14109473489934,0.0123422146210511,1.86009145603302,0.000956352477719331,173,186,79,52,45,35,148,156,116,89,46,33,8.484,8.568,3.552,2.365,1.820,1.419,6.372,7.163,4.813,3.927,2.137,1.649
Ddx31,0,-1.01721533807616,0.0124225241347588,2.87443162234617,0.000965586151277271,274,313,250,206,83,111,234,204,221,147,76,76,13.437,14.419,11.240,9.369,3.357,4.502,10.074,9.367,9.170,6.486,3.530,3.797
Arsj,0,-1.41118867919588,0.0124225241347588,0.140360796456217,0.000966617085471576,8,6,8,12,8,11,144,99,100,76,24,32,0.392,0.276,0.360,0.546,0.324,0.446,6.200,4.546,4.149,3.353,1.115,1.599
Zfp780b,0,1.09216932023006,0.012457402727332,1.51254672318542,0.000970778136667617,129,141,47,37,35,43,114,78,46,37,68,84,6.326,6.495,2.113,1.683,1.416,1.744,4.908,3.582,1.909,1.632,3.158,4.197
Padi1,0,1.62945652815919,0.0124615473305916,-0.572802985739387,0.00097155961564162,20,15,2,3,9,6,33,23,21,17,41,63,0.981,0.691,0.090,0.136,0.364,0.243,1.421,1.056,0.871,0.750,1.904,3.148
Esrp2,0,-1.13852442259233,0.0124763293669241,4.58856782579375,0.000973630177241475,1492,1803,1767,1685,703,817,460,405,324,207,102,99,73.166,83.056,79.446,76.632,28.434,33.134,19.804,18.597,13.444,9.133,4.738,4.946
Rasd2,0,-2.34222620787825,0.0124904232324618,1.26636798181468,0.000975189598560799,21,26,33,33,90,43,106,104,221,122,34,22,1.030,1.198,1.484,1.501,3.640,1.744,4.564,4.775,9.170,5.383,1.579,1.099
Hgh1,0,-1.17961180426688,0.0124915488484182,3.16492601738286,0.000975907203411822,324,326,241,211,151,219,231,218,283,202,106,76,15.888,15.017,10.836,9.596,6.107,8.882,9.945,10.010,11.742,8.912,4.924,3.797
NA,0,3.48889086978611,0.0125159871439822,-0.954145644894087,0.000982251023882925,77,115,4,6,7,2,14,3,3,4,41,34,3.776,5.298,0.180,0.273,0.283,0.081,0.603,0.138,0.124,0.176,1.904,1.699
Scube3,0,1.2415093550383,0.0125159871439822,2.57848792903398,0.000981777208303478,43,32,10,18,2,3,2769,1889,743,1077,1717,1873,2.109,1.474,0.450,0.819,0.081,0.122,119.211,86.739,30.829,47.517,79.752,93.578
Armh1,0,1.09157787568339,0.0125523705808351,-0.638162310008309,0.000986953748528079,5,6,3,4,5,3,40,36,29,41,61,64,0.245,0.276,0.135,0.182,0.202,0.122,1.722,1.653,1.203,1.809,2.833,3.198
Lypd2,0,-1.71838153916362,0.0125643530062814,-4.56827317763746,0.000989391337498509,1,2,0,0,0,0,1,1,1,2,0,0,0.049,0.092,0.000,0.000,0.000,0.000,0.043,0.046,0.041,0.088,0.000,0.000
Sema4a,0,1.24850106133321,0.0125643530062814,4.31692541101986,0.000989030466260453,583,842,86,85,30,48,1044,1160,1073,1422,2985,2077,28.589,38.787,3.867,3.866,1.213,1.947,44.946,53.265,44.521,62.739,138.648,103.770
Olfml2a,0,-1.19876326810082,0.0125819292877892,1.34872714632454,0.000992055427489322,16,25,10,5,4,4,229,281,884,581,225,317,0.785,1.152,0.450,0.227,0.162,0.162,9.859,12.903,36.679,25.634,10.451,15.838
Adamtsl1,0,1.68011213512039,0.0126133147622523,1.34746767096349,0.000995458264286077,13,34,11,11,5,1,144,145,270,451,1173,756,0.638,1.566,0.495,0.500,0.202,0.041,6.200,6.658,11.203,19.898,54.484,37.771
Pkia,0,1.05520922845515,0.0126305962001364,3.52464387161895,0.000997751574439564,216,183,122,177,17,23,1088,1020,440,598,932,874,10.592,8.430,5.485,8.050,0.688,0.933,46.841,46.836,18.257,26.384,43.290,43.666
Cnih3,0,-3.63493465200145,0.0127621946445888,-1.75497568428377,0.00101096453400786,11,3,0,0,12,14,6,6,96,45,2,8,0.539,0.138,0.000,0.000,0.485,0.568,0.258,0.276,3.983,1.985,0.093,0.400
Ephb2,0,-1.02789148602131,0.0127930714475158,1.15925549263978,0.00101482254832201,8,16,4,4,4,5,310,286,878,534,316,260,0.392,0.737,0.180,0.182,0.162,0.203,13.346,13.133,36.430,23.560,14.678,12.990
Capn12,0,1.1260846693087,0.01282244550768,-1.11717887959385,0.00101913222835138,16,21,12,6,1,1,12,13,14,13,25,26,0.785,0.967,0.540,0.273,0.040,0.041,0.517,0.597,0.581,0.574,1.161,1.299
2610028H24Rik,0,5.22218453795715,0.0128452032837909,-2.6765352234251,0.00102227232042782,12,5,2,2,1,0,1,0,0,7,62,59,0.588,0.230,0.090,0.091,0.040,0.000,0.043,0.000,0.000,0.309,2.880,2.948
Iqgap3,0,-3.03456726049658,0.0128452032837909,3.4069489122062,0.00102281579399688,737,856,528,285,358,231,359,370,272,193,25,22,36.141,39.432,23.739,12.961,14.480,9.368,15.456,16.990,11.286,8.515,1.161,1.099
Tmco6,0,1.31572668155564,0.0128814614660541,2.07437030897782,0.0010284694573508,261,213,67,70,41,38,118,72,72,75,140,174,12.799,9.812,3.012,3.184,1.658,1.541,5.080,3.306,2.987,3.309,6.503,8.693
Chchd10,0,-2.10285294077101,0.012912905413447,2.97843272424888,0.00103715093674857,483,549,830,608,605,659,115,69,104,69,17,16,23.686,25.290,37.317,27.651,24.470,26.726,4.951,3.168,4.315,3.044,0.790,0.799
Mc4r,0,-2.08916603587191,0.012912905413447,-4.96451380281774,0.0010343937011335,0,0,1,0,0,0,0,0,2,2,0,0,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.083,0.088,0.000,0.000
Slc9a7,0,-1.72886292100662,0.012912905413447,-0.203611585442587,0.00103669482131029,44,51,17,12,26,19,32,37,25,14,5,4,2.158,2.349,0.764,0.546,1.052,0.771,1.378,1.699,1.037,0.618,0.232,0.200
Csf3,0,-1.73438864952516,0.0129795114688769,7.31114944281502,0.00104584900536592,12349,10537,7519,9740,3464,2435,1788,2592,3322,3881,1050,800,605.577,485.394,338.060,442.964,140.108,98.754,76.977,119.020,137.838,171.230,48.771,39.969
